CustomerID,Age,Annual_Income_k,Spending_Score,Purchase_Frequency,Gender
CUST0022,18,32.7,39.0,4.6,Male
CUST0162,44,42.8,59.5,4.7,Female
CUST0131,47,84.4,17.0,3.8,Male
CUST0182,49,75.0,42.8,3.4,Female
CUST0074,36,96.0,86.0,12.5,Female
CUST0031,26,32.1,33.1,7.9,Male
CUST0147,58,87.4,23.2,2.9,Female
CUST0034,20,33.0,23.3,9.8,Female
CUST0146,57,109.6,22.0,2.0,Female
CUST0166,33,63.7,64.2,5.2,Female
CUST0175,36,68.1,51.6,6.4,Female
CUST0124,49,80.6,28.4,1.0,Male
CUST0199,35,52.8,60.9,4.5,Male
CUST0101,45,77.7,18.4,1.0,Female
CUST0157,29,45.3,46.7,7.4,Male
CUST0181,35,55.4,40.9,4.6,Male
CUST0062,42,106.9,74.6,7.8,Male
CUST0036,22,24.8,42.5,4.5,Male
CUST0011,21,20.6,31.1,6.5,Male
CUST0191,32,64.5,39.4,2.8,Male
CUST0072,42,99.3,85.5,9.0,Female
CUST0194,31,57.6,30.9,6.6,Male
CUST0094,39,91.2,92.0,10.5,Male
CUST0119,40,83.6,23.7,1.0,Male
CUST0145,45,69.7,34.2,2.8,Female
CUST0002,21,21.9,30.0,9.1,Female
CUST0084,37,104.9,86.7,8.0,Female
CUST0190,32,59.1,51.5,5.4,Male
CUST0088,44,87.5,82.2,12.1,Female
CUST0138,40,98.0,20.3,2.5,Male
CUST0005,24,21.4,29.7,7.6,Male
CUST0039,19,27.8,49.0,5.8,Male
CUST0172,41,58.1,40.5,2.9,Female
CUST0035,24,29.8,46.4,5.5,Female
CUST0113,57,93.4,32.9,4.6,Female
CUST0153,39,60.7,62.0,5.4,Male
CUST0057,32,95.3,84.8,8.0,Male
CUST0070,33,88.6,92.3,10.3,Female
CUST0045,27,28.5,36.0,5.5,Female
CUST0020,19,31.1,27.0,6.5,Female
CUST0007,20,31.7,36.0,6.5,Female
CUST0056,35,98.1,100.0,10.9,Female
CUST0076,32,91.0,95.2,10.6,Female
CUST0001,24,32.1,26.9,4.2,Female
CUST0173,48,60.3,34.4,2.4,Female
CUST0136,56,95.3,18.4,4.6,Male
CUST0128,51,87.3,39.1,1.0,Male
CUST0177,39,55.7,54.7,7.6,Female
CUST0069,30,94.5,88.2,10.5,Male
CUST0168,44,54.7,56.6,6.5,Male
CUST0137,48,92.3,10.2,1.6,Male
CUST0043,27,28.4,25.1,6.0,Male
CUST0111,58,83.1,38.7,3.3,Male
CUST0090,36,75.0,96.6,9.0,Female
CUST0073,34,90.0,90.2,4.8,Female
CUST0024,23,26.5,36.7,6.9,Female
CUST0143,53,92.5,26.1,1.8,Male
CUST0186,32,51.2,54.3,6.2,Male
CUST0093,40,91.0,80.0,11.5,Male
CUST0104,52,85.5,24.7,1.5,Male
CUST0152,37,57.4,65.6,6.1,Male
CUST0068,41,84.7,100.0,6.6,Female
CUST0026,18,32.9,34.3,7.3,Female
CUST0197,45,61.5,72.6,6.4,Male
CUST0176,29,54.7,57.8,5.3,Male
